user_id,which_of_the_following_best_describes_you?,occupation,geographical_location,"would_you_pay_extra_for_premium_wellness_experiences_(private_sessions,_personalized_coaching,_luxury_stays)?",how_important_is_sustainability_and_eco-friendliness_in_your_choice_of_a_wellness_retreat?,would_you_pay_extra_for_eco-friendly_and_sustainable_wellness_experiences?,how_comfortable_are_you_with_using_ai-driven_recommendations_for_wellness_retreats?,would_you_use_a_mobile_app_to_manage_and_plan_your_wellness_travel?,month,day,hour,what_are_your_main_reasons_for_pursuing_wellness_tourism?_medical_and_rehabilitation_(post-surgery_recovery,what_are_your_main_reasons_for_pursuing_wellness_tourism?_physical_wellness_(yoga,what_are_your_main_reasons_for_pursuing_wellness_tourism?_mental_health_support_(therapy,what_are_your_main_reasons_for_pursuing_wellness_tourism?_stress_relief_and_relaxation,what_are_your_main_reasons_for_pursuing_wellness_tourism?_meditation),what_are_your_main_reasons_for_pursuing_wellness_tourism?_chronic_illness_support),what_are_your_main_reasons_for_pursuing_wellness_tourism?_digital_detox_(disconnect_from_screens),what_are_your_main_reasons_for_pursuing_wellness_tourism?_detox),what_are_your_main_reasons_for_pursuing_wellness_tourism?_other,what_are_your_main_reasons_for_pursuing_wellness_tourism?_spiritual_growth_and_mindfulness,what_are_your_main_reasons_for_pursuing_wellness_tourism?_fitness,what_wellness_services_are_most_important_to_you?_acupuncture),what_wellness_services_are_most_important_to_you?_professional_therapy_and_counseling,what_wellness_services_are_most_important_to_you?_sleep_therapy_and_relaxation_techniques,what_wellness_services_are_most_important_to_you?_ayurveda,what_wellness_services_are_most_important_to_you?_digital_detox_spaces,what_wellness_services_are_most_important_to_you?_thai_massage,what_wellness_services_are_most_important_to_you?_nutrition_and_personalized_meal_plans,what_wellness_services_are_most_important_to_you?_meditation_and_mindfulness_programs,what_wellness_services_are_most_important_to_you?_sound_healing_and_breathwork,what_wellness_services_are_most_important_to_you?_traditional_cultural_healing_practices_(e.g.,what_wellness_services_are_most_important_to_you?_fitness_and_yoga_classes,what_wellness_services_are_most_important_to_you?_spa_and_detox_treatments,what_wellness_services_are_most_important_to_you?_reiki),what_wellness_services_are_most_important_to_you?_adventure_and_outdoor_activities,what_wellness_services_are_most_important_to_you?_holistic_medicine_(ayurveda,what_are_the_biggest_barriers_preventing_you_from_traveling_for_wellness_more_frequently_flights,what_are_the_biggest_barriers_preventing_you_from_traveling_for_wellness_more_frequently_location_accessibility),what_are_the_biggest_barriers_preventing_you_from_traveling_for_wellness_more_frequently_trust_in_service_providers_and_quality_concerns,what_are_the_biggest_barriers_preventing_you_from_traveling_for_wellness_more_frequently_time_constraints_(work,what_are_the_biggest_barriers_preventing_you_from_traveling_for_wellness_more_frequently_lack_of_awareness_about_available_options,what_are_the_biggest_barriers_preventing_you_from_traveling_for_wellness_more_frequently_high_costs,what_are_the_biggest_barriers_preventing_you_from_traveling_for_wellness_more_frequently_family),what_are_the_biggest_barriers_preventing_you_from_traveling_for_wellness_more_frequently_travel_logistics_(visa,age_group:_18 – 24,age_group:_25 – 34,age_group:_35 - 44,age_group:_45 – 54,age_group:_55+,gender_identity_Female,gender_identity_Male,gender_identity_Non-binary,primary_source_of_travel_funding:_Family-supported,primary_source_of_travel_funding:_Self-funded,how_often_do_you_travel_for_wellness_or_mental_health_purposes?_Annually,how_often_do_you_travel_for_wellness_or_mental_health_purposes?_Have never traveled,how_often_do_you_travel_for_wellness_or_mental_health_purposes?_Monthly,how_often_do_you_travel_for_wellness_or_mental_health_purposes?_Quarterly,how_often_do_you_travel_for_wellness_or_mental_health_purposes?_Rarely,what_type_of_wellness_retreat_location_appeals_to_you_most?_Beachfront and coastal retreats,what_type_of_wellness_retreat_location_appeals_to_you_most?_Local or weekend getaways,"what_type_of_wellness_retreat_location_appeals_to_you_most?_Remote nature-based locations (mountains, forests)","what_type_of_wellness_retreat_location_appeals_to_you_most?_Spiritual and religious retreats (ashrams, monasteries, temples)","what_type_of_wellness_retreat_location_appeals_to_you_most?_Urban wellness centers (spas, meditation studios)",what_is_your_ideal_duration_for_a_wellness_retreat?_Extended stay (1-3 weeks),what_is_your_ideal_duration_for_a_wellness_retreat?_Long-term (1+ months),what_is_your_ideal_duration_for_a_wellness_retreat?_Short retreat (4-7 days),what_is_your_ideal_duration_for_a_wellness_retreat?_Weekend getaway (2-3 days),how_do_you_prefer_to_travel_for_wellness_retreats?_Solo,how_do_you_prefer_to_travel_for_wellness_retreats?_With a guided group,how_do_you_prefer_to_travel_for_wellness_retreats?_With family,how_do_you_prefer_to_travel_for_wellness_retreats?_With friends,"what_is_your_typical_budget_for_a_wellness_retreat?_Under ₹25,000","what_is_your_typical_budget_for_a_wellness_retreat?_₹1,00,000+","what_is_your_typical_budget_for_a_wellness_retreat?_₹25,000 – ₹50,000","what_is_your_typical_budget_for_a_wellness_retreat?_₹50,000 – ₹1,00,000",which_pricing_model_do_you_prefer_for_wellness_retreats_All-inclusive package (accommodation + food + activities),which_pricing_model_do_you_prefer_for_wellness_retreats_Corporate wellness sponsorship,which_pricing_model_do_you_prefer_for_wellness_retreats_Pay-per-service (only for selected activities),which_pricing_model_do_you_prefer_for_wellness_retreats_Subscription-based (monthly/yearly membership for discounts)
1,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,1,1,1,2,8,16,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
2,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),0,2,0,1,1,2,8,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False
3,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",2,0,2,1,2,8,17,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
4,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,1,1,2,1,2,8,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
5,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,1,1,1,2,8,19,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
6,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",2,1,2,1,2,8,19,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False
7,Traveler - Looking for wellness travel experiences,Working professional,Urban (metro city),1,3,1,3,1,2,8,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False
8,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",2,0,2,1,2,8,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
9,Traveler - Looking for wellness travel experiences,Working professional,Urban (metro city),0,1,1,1,1,2,8,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
10,Traveler - Looking for wellness travel experiences,Entrepreneur / Business owner,Urban (metro city),"maybe,dependingontheprice",1,1,3,1,2,9,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
11,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,0,1,1,2,9,13,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
12,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",2,0,2,1,2,9,13,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
13,Traveler - Looking for wellness travel experiences,Working professional,Urban (metro city),1,1,1,2,1,2,9,19,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
14,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,1,1,1,2,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
15,Traveler - Looking for wellness travel experiences,Working professional,Urban (metro city),"maybe,dependingontheprice",2,0,1,1,2,11,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
16,Traveler - Looking for wellness travel experiences,Working professional,Urban (metro city),"maybe,dependingontheprice",2,0,1,0,2,12,14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
17,Traveler - Looking for wellness travel experiences,Student,Rural,"maybe,dependingontheprice",1,0,1,1,2,13,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
18,Traveler - Looking for wellness travel experiences,Student,Rural,1,1,0,1,0,2,13,21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False
19,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",2,0,2,1,2,14,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False
20,Traveler - Looking for wellness travel experiences,Student,Suburban,"maybe,dependingontheprice",1,1,2,1,2,15,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False
21,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",1,0,1,1,2,15,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False
22,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",1,1,2,1,2,15,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
23,Traveler - Looking for wellness travel experiences,Student,Suburban,"maybe,dependingontheprice",2,1,2,1,2,15,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
24,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",2,1,3,1,2,15,12,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False
25,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,1,1,1,1,2,16,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False
26,Traveler - Looking for wellness travel experiences,Student,Suburban,"maybe,dependingontheprice",1,1,2,1,2,16,14,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
27,Traveler - Looking for wellness travel experiences,Student,Suburban,1,2,1,1,1,2,16,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False
28,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",1,1,1,1,2,16,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False
29,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,0,2,1,2,16,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False
30,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",2,0,2,1,2,16,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False
31,Traveler - Looking for wellness travel experiences,Student,Suburban,0,1,1,2,1,2,16,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
32,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,0,2,0,2,16,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False
33,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",3,1,2,1,2,16,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
34,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",1,1,2,1,2,16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False
35,Traveler - Looking for wellness travel experiences,Working professional,Urban (metro city),0,2,0,3,0,2,16,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False
36,Traveler - Looking for wellness travel experiences,Working professional,Suburban,1,1,1,1,1,2,16,17,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
37,Traveler - Looking for wellness travel experiences,Student,Suburban,"maybe,dependingontheprice",1,1,2,1,2,16,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
38,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,0,2,1,2,16,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False
39,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,1,1,1,1,2,16,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False
40,Traveler - Looking for wellness travel experiences,Working professional,Urban (metro city),1,2,0,2,1,2,16,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False
41,Traveler - Looking for wellness travel experiences,Student,Suburban,"maybe,dependingontheprice",1,1,2,1,2,16,21,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
42,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,0,2,1,2,17,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
43,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",1,0,2,1,2,17,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
44,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),1,2,1,3,0,2,17,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
45,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",2,1,1,1,2,18,12,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False
46,Traveler - Looking for wellness travel experiences,Student,Urban (metro city),"maybe,dependingontheprice",1,0,1,1,2,19,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
47,Traveler - Looking for wellness travel experiences,Working professional,Rural,"maybe,dependingontheprice",1,1,1,1,2,21,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
48,Traveler - Looking for wellness travel experiences,Working professional,Rural,"maybe,dependingontheprice",3,1,3,1,2,21,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
49,Traveler - Looking for wellness travel experiences,Working professional,Rural,0,2,0,1,1,2,21,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False
50,Traveler - Looking for wellness travel experiences,Working professional,Rural,"maybe,dependingontheprice",1,1,1,1,2,21,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
51,Traveler - Looking for wellness travel experiences,Working professional,Rural,"maybe,dependingontheprice",2,1,2,1,2,21,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False
52,Traveler - Looking for wellness travel experiences,Other,Rural,"maybe,dependingontheprice",1,0,3,1,2,21,12,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False
53,Traveler - Looking for wellness travel experiences,Working professional,Rural,0,1,0,1,1,2,21,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False
54,Traveler - Looking for wellness travel experiences,Entrepreneur / Business owner,Rural,"maybe,dependingontheprice",2,1,3,1,2,22,12,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False
